JED,SVF ROW,SVF COL
0,12,79
1,13,79
2,14,79
3,15,79
4,16,79
5,17,79
6,18,79
7,19,79
8,20,79
9,21,79
10,22,79
11,23,79
12,24,79
13,25,79
14,26,79
15,27,79
16,28,79
17,29,79
18,30,79
19,31,79
20,32,79
21,33,79
22,34,79
23,35,79
24,36,79
25,37,79
26,38,79
27,39,79
28,40,79
29,41,79
30,42,79
31,43,79
32,44,79
33,45,79
34,46,79
35,47,79
36,48,79
37,49,79
38,50,79
39,51,79
40,52,79
41,53,79
42,54,79
43,55,79
44,56,79
45,57,79
46,58,79
47,59,79
48,60,79
49,61,79
50,62,79
51,63,79
52,64,79
53,65,79
54,66,79
55,67,79
56,68,79
57,69,79
58,70,79
59,71,79
60,72,79
61,73,79
62,74,79
63,75,79
64,76,79
65,77,79
66,78,79
67,79,79
68,80,79
69,81,79
70,82,79
71,83,79
72,84,79
73,85,79
74,86,79
75,87,79
76,88,79
77,89,79
78,90,79
79,91,79
80,92,79
81,93,79
82,94,79
83,95,79
84,96,79
85,97,79
86,98,79
87,99,79
88,100,79
89,101,79
90,102,79
91,103,79
92,104,79
93,105,79
94,106,79
95,107,79
96,12,78
97,13,78
98,14,78
99,15,78
100,16,78
101,17,78
102,18,78
103,19,78
104,20,78
105,21,78
106,22,78
107,23,78
108,24,78
109,25,78
110,26,78
111,27,78
112,28,78
113,29,78
114,30,78
115,31,78
116,32,78
117,33,78
118,34,78
119,35,78
120,36,78
121,37,78
122,38,78
123,39,78
124,40,78
125,41,78
126,42,78
127,43,78
128,44,78
129,45,78
130,46,78
131,47,78
132,48,78
133,49,78
134,50,78
135,51,78
136,52,78
137,53,78
138,54,78
139,55,78
140,56,78
141,57,78
142,58,78
143,59,78
144,60,78
145,61,78
146,62,78
147,63,78
148,64,78
149,65,78
150,66,78
151,67,78
152,68,78
153,69,78
154,70,78
155,71,78
156,72,78
157,73,78
158,74,78
159,75,78
160,76,78
161,77,78
162,78,78
163,79,78
164,80,78
165,81,78
166,82,78
167,83,78
168,84,78
169,85,78
170,86,78
171,87,78
172,88,78
173,89,78
174,90,78
175,91,78
176,92,78
177,93,78
178,94,78
179,95,78
180,96,78
181,97,78
182,98,78
183,99,78
184,100,78
185,101,78
186,102,78
187,103,78
188,104,78
189,105,78
190,106,78
191,107,78
192,12,77
193,13,77
194,14,77
195,15,77
196,16,77
197,17,77
198,18,77
199,19,77
200,20,77
201,21,77
202,22,77
203,23,77
204,24,77
205,25,77
206,26,77
207,27,77
208,28,77
209,29,77
210,30,77
211,31,77
212,32,77
213,33,77
214,34,77
215,35,77
216,36,77
217,37,77
218,38,77
219,39,77
220,40,77
221,41,77
222,42,77
223,43,77
224,44,77
225,45,77
226,46,77
227,47,77
228,48,77
229,49,77
230,50,77
231,51,77
232,52,77
233,53,77
234,54,77
235,55,77
236,56,77
237,57,77
238,58,77
239,59,77
240,60,77
241,61,77
242,62,77
243,63,77
244,64,77
245,65,77
246,66,77
247,67,77
248,68,77
249,69,77
250,70,77
251,71,77
252,72,77
253,73,77
254,74,77
255,75,77
256,76,77
257,77,77
258,78,77
259,79,77
260,80,77
261,81,77
262,82,77
263,83,77
264,84,77
265,85,77
